"episodes_total","training.model.use_lstm: true - _step","training.model.use_lstm: true - _step__MIN","training.model.use_lstm: true - _step__MAX","training.model.use_lstm: true - episode_len_mean","training.model.use_lstm: true - episode_len_mean__MIN","training.model.use_lstm: true - episode_len_mean__MAX"
"4898","45","45","45","66.95","66.95","66.95"
"4900","47","47","47","77.77","77.77","77.77"
"4904","47","47","47","67.68","67.68","67.68"
"4914","46","46","46","87.12","87.12","87.12"
"4926","45","45","45","66.06","66.06","66.06"
"4939","48","48","48","74.05","74.05","74.05"
"4940","46","46","46","70.86","70.86","70.86"
"4960","45","45","45","71.99","71.99","71.99"
"4965","46","46","46","63.95","63.95","63.95"
"4969","48","47","49","74.3","73.53","75.07"
"4977","49","49","49","85.38","85.38","85.38"
"4982","46","46","46","69.29","69.29","69.29"
"5000","47","47","47","71.43","71.43","71.43"
"5018","47","46","48","69.755","68.27","71.24"
"5022","47","47","47","72.08","63.03","81.13"
"5026","48","48","48","68.1","68.1","68.1"
"5031","47","47","47","61.64","61.64","61.64"
"5039","47.5","46","49","83.955","74.45","93.46"
"5054","47","47","47","76.22","76.22","76.22"
"5077","46","46","46","71.08","71.08","71.08"
"5080","50","50","50","77.84","77.84","77.84"
"5083","50","50","50","84.52","84.52","84.52"
"5084","48","48","48","75.06","75.06","75.06"
"5089","47","47","47","65.34","65.34","65.34"
"5106","47","47","47","65.4","65.4","65.4"
"5123","48","48","48","67.59","67.59","67.59"
"5134","47","47","47","73.26","73.26","73.26"
"5138","48.5","48","49","72.255","71.74","72.77"
"5140","50","50","50","89.8","89.8","89.8"
"5144","49","49","49","68.89","68.89","68.89"
"5150","48","48","48","65.97","65.97","65.97"
"5159","48","48","48","63.67","63.67","63.67"
"5162","47","47","47","68.06","68.06","68.06"
"5185","51","51","51","89.16","89.16","89.16"
"5188","51","51","51","80.64","80.64","80.64"
"5190","48","48","48","56.31","56.31","56.31"
"5193","47","47","47","68.59","68.59","68.59"
"5204","49","49","49","69.54","69.54","69.54"
"5217","48","48","48","60.31","60.31","60.31"
"5230","48","48","48","64.79","64.79","64.79"
"5249","49","49","49","75.7","75.7","75.7"
"5250","51","51","51","77.97","77.97","77.97"
"5251","49","49","49","66.06","66.06","66.06"
"5257","48","48","48","69.34","69.34","69.34"
"5264","50","50","50","64.53999999999999","64.17","64.91"
"5275","49","49","49","63.19","63.19","63.19"
"5282","48","48","48","69.29","69.29","69.29"
"5289","49","49","49","63.96","63.96","63.96"
"5295","52","52","52","84.92","84.92","84.92"
"5298","52","52","52","76.62","76.62","76.62"
"5321","49","49","49","62.76","62.76","62.76"
"5323","48","48","48","60.62","60.62","60.62"
"5324","50","50","50","69.26","69.26","69.26"
"5342","49","49","49","67","67","67"
"5354","49","49","49","63.33","63.33","63.33"
"5356","52","52","52","83.98","83.98","83.98"
"5364","50","50","50","72.39","72.39","72.39"
"5369","50","50","50","74.67","74.67","74.67"
"5381","49","49","49","69.2","69.2","69.2"
"5383","51","51","51","70.9","70.9","70.9"
"5386","51","51","51","64.58","64.58","64.58"
"5402","53","53","53","83.77","83.6","83.94"
"5403","50","50","50","61.31","61.31","61.31"
"5413","49","49","49","62.9","62.9","62.9"
"5419","50","50","50","61.88","61.88","61.88"
"5433","50","50","50","72.15","72.15","72.15"
"5445","49","49","49","64.91","64.91","64.91"
"5451","51","51","51","63.83","63.83","63.83"
"5465","53","53","53","78.88","78.88","78.88"
